permno,mergent_id,PERMCO,GVKEY,companyid,Company Name,Ticker Symbol,CUSIP,Primary Link Marker,Security-level Identifier,Link Type Codd,Historical CRSP PERMCO Link to COMPUSTAT Record,First Effective Date of Link,Last Effective Date of Link
10001,12836,7953,012994,10675,GAS NATURAL INC,EGAS,367204104,P,01,LC,7953,1986-01-09T00:00:00Z,2017-08-31T00:00:00Z
10026,45751,7976,012825,17216,J & J SNACK FOODS CORP,JJSF,466032109,P,01,LU,7976,1986-02-04T00:00:00Z,NA
10032,12401,7980,012945,24637,PLEXUS CORP,PLXS,729132100,P,01,LU,7980,1986-02-05T00:00:00Z,NA
10104,46032,8045,012142,23295,ORACLE CORP,ORCL,68389X105,P,01,LC,8045,1986-03-12T00:00:00Z,NA
10107,46247,8048,012141,20601,MICROSOFT CORP,MSFT,594918104,P,01,LC,8048,1986-03-13T00:00:00Z,NA
10116,23074,8028,011929,622034,ACURA PHARMACEUTICALS INC,ACUR,00509L802,C,01,LC,8028,1986-03-14T00:00:00Z,2017-02-22T00:00:00Z
10116,23074,8028,011929,2622265,ACURA PHARMACEUTICALS INC,ACUR,00509L802,C,01,LC,8028,1986-03-14T00:00:00Z,2017-02-22T00:00:00Z
10138,46064,8087,012138,25020,PRICE (T. ROWE) GROUP,TROW,74144T108,P,01,LU,8087,1986-04-02T00:00:00Z,NA
10145,44175,22168,001300,15029,HONEYWELL INTERNATIONAL INC,HON,438516106,P,01,LC,22168,1962-01-31T00:00:00Z,NA
10145,44175,22168,001300,15029,HONEYWELL INTERNATIONAL INC,HON,438516106,C,00X,LC,22168,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
10158,129704,53454,185128,1654280,AMERESCO INC,AMRC,02361E108,P,01,LC,53454,2010-07-22T00:00:00Z,NA
10180,55844,9743,014304,1228,AKORN OPERATING COMPANY LLC,AKRXQ,009728106,P,01,LU,9743,1988-04-08T00:00:00Z,2020-10-05T00:00:00Z
10182,46851,8125,012171,30106,TECH DATA CORP,TECD,878237106,P,01,LU,8125,1986-04-23T00:00:00Z,2020-06-30T00:00:00Z
10200,46865,8135,012181,26081,REPLIGEN CORP,RGEN,759916109,P,01,LU,8135,1986-04-29T00:00:00Z,NA
10201,111012,53455,162346,1000160,ATLANTIC POWER CORP,AT,04878Q863,P,01,LC,53455,2010-07-23T00:00:00Z,2021-05-28T00:00:00Z
10220,129657,53456,185229,1652246,BWX TECHNOLOGIES INC,BWXT,05605H100,P,01,LC,53456,2010-08-02T00:00:00Z,NA
10259,46456,8187,012234,27941,SIGMA DESIGNS INC,SIGM,826565103,P,01,LU,8187,1986-05-15T00:00:00Z,2020-08-31T00:00:00Z
10299,46936,8220,012216,18926,LINEAR TECHNOLOGY CORP,LLTC,535678106,P,01,LU,8220,1986-05-28T00:00:00Z,2017-03-31T00:00:00Z
10302,46866,8222,012215,8542,CYPRESS SEMICONDUCTOR CORP,CY,232806109,P,01,LU,8222,1986-05-29T00:00:00Z,2020-04-30T00:00:00Z
10308,8285,8228,017240,30889,TOMPKINS FINANCIAL CORP,TMP,890110109,P,01,LU,8228,1986-06-02T00:00:00Z,NA
10318,11963,8237,001979,3424,BALCHEM CORP  -CL B,BCPC,057665200,C,01,LU,8237,1986-06-03T00:00:00Z,NA
10333,47330,8254,012252,33873,XOMA ROYALTY CORP,XOMA,98419J206,P,01,LC,8254,1986-06-06T00:00:00Z,NA
10353,47424,8275,012256,755,STEEL EXCEL INC,SXCL,858122203,P,01,LC,8275,2015-07-07T00:00:00Z,2017-02-28T00:00:00Z
10353,47424,8275,012256,755,STEEL EXCEL INC,SXCL,858122203,P,01,LC,8275,1986-06-11T00:00:00Z,2010-08-04T00:00:00Z
10353,47424,8275,012256,2304910,STEEL EXCEL INC,SXCL,858122203,P,01,LC,8275,2015-07-07T00:00:00Z,2017-02-28T00:00:00Z
10353,47424,8275,012256,2304910,STEEL EXCEL INC,SXCL,858122203,P,01,LC,8275,1986-06-11T00:00:00Z,2010-08-04T00:00:00Z
10363,47388,8284,012250,874,AMAG PHARMACEUTICALS INC,AMAG,00163U106,P,01,LU,8284,1986-06-11T00:00:00Z,2020-11-30T00:00:00Z
10375,53609,8292,015363,6579,TCF FINANCIAL CORP,TCF,872307103,P,01,LC,8292,1986-06-17T00:00:00Z,2019-07-31T00:00:00Z
10375,53609,8292,015363,30053,TCF FINANCIAL CORP,TCF,872307103,P,01,LC,8292,1986-06-17T00:00:00Z,2019-07-31T00:00:00Z
10375,53609,9882,015363,6579,TCF FINANCIAL CORP,TCF,872307103,P,01,LC,8292,1986-06-17T00:00:00Z,2019-07-31T00:00:00Z
10382,47606,8299,012262,2837,ASTEC INDUSTRIES INC,ASTE,046224101,P,01,LU,8299,1986-06-18T00:00:00Z,NA
10395,47460,8314,017074,21679,NAVIGATORS GROUP INC,NAVG,638904102,P,01,LU,8314,1986-06-19T00:00:00Z,2019-05-31T00:00:00Z
10397,47472,8317,012266,33289,WERNER ENTERPRISES INC,WERN,950755108,P,01,LU,8317,1986-06-20T00:00:00Z,NA
10421,47582,8340,012392,28226,SKYWEST INC,SKYW,830879102,P,01,LU,8340,1986-06-26T00:00:00Z,NA
10443,57806,8360,012926,23923,FRP HOLDINGS INC,FRPH,30292L107,P,01,LC,8360,1986-07-02T00:00:00Z,NA
10463,47998,8377,012377,26103,RESEARCH FRONTIERS INC,REFR,760911107,P,01,LU,8377,1986-07-08T00:00:00Z,NA
10501,47741,8418,012379,1968,AMERICAN WOODMARK CORP,AMWD,030506109,P,01,LU,8418,1986-07-18T00:00:00Z,NA
10507,41457,7340,007205,20097,MEDICAL ACTION INDUSTRIES,MDCI,58449L100,P,01,LU,7340,1986-07-22T00:00:00Z,2014-10-02T00:00:00Z
10514,47837,8431,012421,31124,KASPIEN HOLDINGS INC,KSPN,485837108,C,01,LC,8431,1986-07-24T00:00:00Z,2023-06-09T00:00:00Z
10516,549,20207,001722,2490,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,P,01,LC,20207,1962-01-31T00:00:00Z,NA
10516,549,20207,001722,2490,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,C,00X,LC,20207,1949-07-01T00:00:00Z,1962-01-30T00:00:00Z
10517,21314,5674,001076,398,PROG HOLDINGS INC,PRG,74319R101,P,01,LC,5674,1982-11-04T00:00:00Z,1992-12-31T00:00:00Z
10517,21314,5674,001076,398,PROG HOLDINGS INC,PRG,74319R101,J,01,LC,5674,1993-01-01T00:00:00Z,2010-11-30T00:00:00Z
10517,21314,5674,001076,398,PROG HOLDINGS INC,PRG,74319R101,P,01,LC,5674,2010-12-01T00:00:00Z,NA
10530,47870,8441,012433,20311,MERIDIAN BIOSCIENCE INC,VIVO,589584101,P,01,LU,8441,1986-07-29T00:00:00Z,2023-02-28T00:00:00Z
10547,47985,8458,012482,643107,CLEARFIELD INC,CLFD,18482P103,P,01,LC,8458,1986-08-06T00:00:00Z,NA
10550,48176,8461,012458,25157,PRO-DEX INC/CO,PDEX,74265M205,P,01,LU,8461,1986-08-07T00:00:00Z,NA
10606,48086,8508,012445,33148,WATTS WATER TECHNOLOGIES INC,WTS,942749102,P,01,LU,8508,1986-08-21T00:00:00Z,NA
10629,2918,8534,018049,12170,F N B CORP/FL,FNB,302520101,P,01,LC,8534,1986-09-02T00:00:00Z,NA
10645,48149,8549,012597,18380,LAKELAND INDUSTRIES INC,LAKE,511795106,P,01,LU,8549,1986-09-09T00:00:00Z,NA
10649,48193,8551,012598,23684,PAMT CORP,PAMT,693149106,P,01,LU,8551,1986-09-10T00:00:00Z,NA
10656,55,37,001094,631,ACETO CORP,ACETQ,004446100,P,01,LC,37,1972-12-14T00:00:00Z,2019-10-02T00:00:00Z
10661,40248,8565,012575,8472,CYANOTECH CORP,CYAN,232437301,C,02,LU,8565,1986-09-15T00:00:00Z,NA
10667,47874,8570,012559,15697,FUEL SYSTEMS SOLUTIONS INC,FSYS,35952W103,P,01,LU,8570,1986-09-16T00:00:00Z,2016-06-30T00:00:00Z
10693,48820,8596,012589,14523,ENCOMPASS HEALTH CORP,EHC,29261A100,P,01,LC,8596,1986-09-24T00:00:00Z,NA
10696,47969,8598,012635,11985,FISERV INC,FI,337738108,P,01,LC,8598,1986-09-25T00:00:00Z,NA
10812,49247,8702,012840,14538,HEARTLAND EXPRESS INC,HTLD,422347104,P,01,LU,8702,1986-11-05T00:00:00Z,NA
10860,48515,8743,012915,23317,ORASURE TECHNOLOGIES INC,OSUR,68554V108,P,01,LU,8743,1986-11-17T00:00:00Z,NA
10866,1174,20342,002436,5207,CALERES INC,CAL,129500104,P,01,LU,20342,1962-01-31T00:00:00Z,NA
10866,1174,20342,002436,5207,CALERES INC,CAL,129500104,C,00X,LU,20342,1949-11-01T00:00:00Z,1962-01-30T00:00:00Z
10874,1181,20344,002444,5227,BRUNSWICK CORP,BC,117043109,P,01,LU,20344,1962-01-31T00:00:00Z,NA
10874,1181,20344,002444,5227,BRUNSWICK CORP,BC,117043109,C,00X,LU,20344,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
10886,2505,8762,004001,9412,DIXIE GROUP INC,DXYN,255519100,C,01,LU,8762,1986-11-25T00:00:00Z,NA
10890,1236,21814,002504,31815,UNISYS CORP,UIS,909214306,P,01,LU,21814,1962-01-31T00:00:00Z,NA
10890,1236,21814,002504,31815,UNISYS CORP,UIS,909214306,C,00X,LU,21814,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
10909,49493,8786,012850,6375,CERNER CORP,CERN,156782104,P,01,LU,8786,1987-01-30T00:00:00Z,2022-06-30T00:00:00Z
10932,49640,8810,017150,33221,WEBSTER FINANCIAL CORP,WBS,947890109,P,01,LC,8810,1986-12-12T00:00:00Z,NA
10933,49614,8811,012909,19677,MARKEL GROUP INC,MKL,570535104,P,01,LU,8811,1986-12-12T00:00:00Z,NA
10952,49844,8826,013189,465870,CEDAR REALTY TRUST INC,CDR,150602605,P,01,LU,8826,1986-12-17T00:00:00Z,2022-08-31T00:00:00Z
11003,129726,47199,163921,1655179,WILLIAMS PARTNERS LP,WPZ,96949L105,P,01,LC,53459,2015-02-03T00:00:00Z,2018-08-31T00:00:00Z
11003,129726,53459,163921,1655179,WILLIAMS PARTNERS LP,WPZ,96949L105,P,01,LC,53459,2015-02-03T00:00:00Z,2018-08-31T00:00:00Z
11018,49872,8889,016821,30,FIRST BANCORP P R,FBP,318672706,P,01,LC,8889,1987-01-13T00:00:00Z,NA
11144,17841,9002,001585,1960,AMERICAN VANGUARD CORP,AVD,030371108,P,01,LU,9002,1987-03-02T00:00:00Z,NA
11154,50439,9010,013200,24404,PHOTRONICS INC,PLAB,719405102,P,01,LU,9010,1987-03-10T00:00:00Z,NA
11203,48668,8727,015364,2542,ARGO GROUP INTL HOLDINGS LTD,ARGO,G0464B107,P,01,LC,9053,2007-08-07T00:00:00Z,2023-11-30T00:00:00Z
11208,91770,9058,016981,23377,OFG BANCORP,OFG,67103X102,C,01,LU,9058,1990-01-31T00:00:00Z,NA
11267,1503,9117,002818,6059,CATO CORP  -CL A,CATO,149205106,C,01,LU,9117,1987-04-22T00:00:00Z,NA
